e,alpha,alphal,alphah
6.3892,0.0075,0.0075,0.0075
6.3925,0.0075,0.0075,0.0075
6.3958,0.0075,0.0075,0.0075
6.3991,0.0075,0.0075,0.0075
6.4024,0.0075,0.0075,0.0075
6.4057,0.0075,0.0075,0.0075
6.4090,0.0075,0.0075,0.0075
6.4123,0.0075,0.0075,0.0075
6.4156,0.0075,0.0075,0.0075
6.4189,0.0075,0.0075,0.0075
6.4222,0.0075,0.0075,0.0075
6.4255,0.0075,0.0075,0.0075
6.4288,0.0075,0.0075,0.0075
6.4321,0.0075,0.0075,0.0075
6.4354,0.0075,0.0075,0.0075
6.4388,0.0075,0.0075,0.0075
6.4421,0.0075,0.0075,0.0075
6.4454,0.0075,0.0075,0.0075
6.4487,0.0075,0.0075,0.0075
6.4520,0.0075,0.0075,0.0075
6.4554,0.0075,0.0075,0.0075
6.4587,0.0075,0.0075,0.0075
6.4620,0.0075,0.0075,0.0075
6.4653,0.0075,0.0075,0.0075
6.4687,0.0075,0.0075,0.0075
6.4720,0.0075,0.0075,0.0075
6.4753,0.0075,0.0075,0.0075
6.4787,0.0075,0.0075,0.0075
6.4820,0.0075,0.0075,0.0075
6.4854,0.0075,0.0075,0.0075
6.4887,0.0075,0.0075,0.0075
6.4920,0.0075,0.0075,0.0075
6.4954,0.0075,0.0075,0.0075
6.4987,0.0075,0.0075,0.0075
6.5021,0.0075,0.0075,0.0075
6.5054,0.0075,0.0075,0.0075
6.5088,0.0075,0.0075,0.0075
6.5121,0.0075,0.0075,0.0075
6.5155,0.0075,0.0075,0.0075
6.5188,0.0075,0.0075,0.0075
6.5222,0.0075,0.0075,0.0075
6.5256,0.0075,0.0075,0.0075
6.5289,0.0075,0.0075,0.0075
6.5323,0.0075,0.0075,0.0075
6.5357,0.0075,0.0075,0.0075
6.5390,0.0075,0.0075,0.0075
6.5424,0.0075,0.0075,0.0075
6.5458,0.0075,0.0075,0.0075
6.5491,0.0075,0.0075,0.0075
6.5525,0.0075,0.0075,0.0075
6.5559,0.0075,0.0075,0.0075
6.5593,0.0075,0.0075,0.0075
6.5626,0.0075,0.0075,0.0075
6.5660,0.0075,0.0075,0.0075
6.5694,0.0075,0.0075,0.0075
6.5728,0.0075,0.0075,0.0075
6.5762,0.0075,0.0075,0.0075
6.5796,0.0075,0.0075,0.0075
6.5830,0.0075,0.0075,0.0075
6.5863,0.0075,0.0075,0.0075
6.5897,0.0075,0.0075,0.0075
6.5931,0.0075,0.0075,0.0075
6.5965,0.0075,0.0075,0.0075
6.5999,0.0075,0.0075,0.0075
6.6033,0.0075,0.0075,0.0075
6.6067,0.0075,0.0075,0.0075
6.6101,0.0075,0.0075,0.0075
6.6135,0.0075,0.0075,0.0075
6.6169,0.0075,0.0075,0.0075
6.6204,0.0075,0.0075,0.0075
6.6238,0.0075,0.0075,0.0075
6.6272,0.0075,0.0075,0.0075
6.6306,0.0075,0.0075,0.0075
6.6340,0.0075,0.0075,0.0075
6.6374,0.0075,0.0075,0.0075
6.6408,0.0075,0.0075,0.0075
6.6443,0.0075,0.0075,0.0075
6.6477,0.0075,0.0075,0.0075
6.6511,0.0075,0.0075,0.0075
6.6545,0.0075,0.0075,0.0075
6.6580,0.0075,0.0075,0.0075
6.6614,0.0075,0.0075,0.0075
6.6648,0.0075,0.0075,0.0075
6.6683,0.0075,0.0075,0.0075
6.6717,0.0075,0.0075,0.0075
6.6751,0.0075,0.0075,0.0075
6.6786,0.0075,0.0075,0.0075
6.6820,0.0075,0.0075,0.0075
6.6855,0.0075,0.0075,0.0075
6.6889,0.0075,0.0075,0.0075
6.6924,0.0075,0.0075,0.0075
6.6958,0.0075,0.0075,0.0075
6.6993,0.0075,0.0075,0.0075
6.7027,0.0075,0.0075,0.0075
6.7062,0.0075,0.0075,0.0075
6.7096,0.0075,0.0075,0.0075
6.7131,0.0075,0.0075,0.0075
6.7165,0.0075,0.0075,0.0075
6.7200,0.0075,0.0075,0.0075
6.7235,0.0075,0.0075,0.0075
6.7269,0.0075,0.0075,0.0075
6.7304,0.0075,0.0075,0.0075
6.7338,0.0075,0.0075,0.0075
6.7373,0.0075,0.0075,0.0075
6.7408,0.0075,0.0075,0.0075
6.7443,0.0075,0.0075,0.0075
6.7477,0.0075,0.0075,0.0075
6.7512,0.0075,0.0075,0.0075
6.7547,0.0075,0.0075,0.0075
6.7582,0.0075,0.0075,0.0075
6.7617,0.0075,0.0075,0.0075
6.7651,0.0075,0.0075,0.0075
6.7686,0.0075,0.0075,0.0075
6.7721,0.0075,0.0075,0.0075
6.7756,0.0075,0.0075,0.0075
6.7791,0.0075,0.0075,0.0075
6.7826,0.0075,0.0075,0.0075
6.7861,0.0075,0.0075,0.0075
6.7896,0.0075,0.0075,0.0075
6.7931,0.0075,0.0075,0.0075
6.7966,0.0075,0.0075,0.0075
6.8001,0.0075,0.0075,0.0075
6.8036,0.0075,0.0075,0.0075
6.8071,0.0075,0.0075,0.0075
6.8106,0.0075,0.0075,0.0075
6.8141,0.0075,0.0075,0.0075
6.8176,0.0075,0.0075,0.0075
6.8211,0.0075,0.0075,0.0075
6.8246,0.0075,0.0075,0.0075
6.8281,0.0075,0.0075,0.0075
6.8317,0.0075,0.0075,0.0075
6.8352,0.0075,0.0075,0.0075
6.8387,0.0075,0.0075,0.0075
6.8422,0.0075,0.0075,0.0075
6.8458,0.0075,0.0075,0.0075
6.8493,0.0075,0.0075,0.0075
6.8528,0.0075,0.0075,0.0075
6.8563,0.0075,0.0075,0.0075
6.8599,0.0075,0.0075,0.0075
6.8634,0.0075,0.0075,0.0075
6.8669,0.0075,0.0075,0.0075
6.8705,0.0075,0.0075,0.0075
6.8740,0.0075,0.0075,0.0075
6.8776,0.0075,0.0075,0.0075
6.8811,0.0075,0.0075,0.0075
6.8847,0.0075,0.0075,0.0075
6.8882,0.0075,0.0075,0.0075
6.8917,0.0075,0.0075,0.0075
6.8953,0.0075,0.0075,0.0075
6.8989,0.0075,0.0075,0.0075
6.9024,0.0075,0.0075,0.0075
6.9060,0.0075,0.0075,0.0075
6.9095,0.0075,0.0075,0.0075
6.9131,0.0075,0.0075,0.0075
6.9166,0.0075,0.0075,0.0075
6.9202,0.0075,0.0075,0.0075
6.9238,0.0075,0.0075,0.0075
6.9273,0.0075,0.0075,0.0075
6.9309,0.0075,0.0075,0.0075
6.9345,0.0075,0.0075,0.0075
6.9380,0.0075,0.0075,0.0075
6.9416,0.0075,0.0075,0.0075
6.9452,0.0075,0.0075,0.0075
6.9488,0.0075,0.0075,0.0075
6.9524,0.0075,0.0075,0.0075
6.9559,0.0075,0.0075,0.0075
6.9595,0.0075,0.0075,0.0075
6.9631,0.0075,0.0075,0.0075
6.9667,0.0075,0.0075,0.0075
6.9703,0.0075,0.0075,0.0075
6.9739,0.0075,0.0075,0.0075
6.9775,0.0075,0.0075,0.0075
6.9811,0.0075,0.0075,0.0075
6.9847,0.0075,0.0075,0.0075
6.9883,0.0075,0.0075,0.0075
6.9919,0.0075,0.0075,0.0075
6.9955,0.0075,0.0075,0.0075
6.9991,0.0075,0.0075,0.0075
7.0027,0.0075,0.0075,0.0075
7.0063,0.0075,0.0075,0.0075
7.0099,0.0075,0.0075,0.0075
7.0135,0.0075,0.0075,0.0075
7.0171,0.0075,0.0075,0.0075
