E1 [GeV],E2 [GeV],E1+(E2-E1)/2,s [GeV^2],sigma [nb],err. sigma [nb] bare,alphaRatio,alphaRatioL,alphaRatioH
0.6700,0.6720,0.6710,0.4502,619.42896,8.63669,1.00190,1.00183,1.00196
0.6720,0.6740,0.6730,0.4529,646.47508,8.35179,1.00183,1.00177,1.00190
0.6740,0.6760,0.6750,0.4556,653.00707,9.22731,1.00177,1.00170,1.00183
0.6760,0.6780,0.6770,0.4583,670.38313,9.25269,1.00170,1.00163,1.00177
0.6780,0.6800,0.6790,0.4610,688.00206,9.06100,1.00164,1.00158,1.00171
0.6800,0.6820,0.6810,0.4638,704.23458,9.05242,1.00159,1.00152,1.00166
0.6820,0.6840,0.6830,0.4665,714.12204,9.62278,1.00154,1.00148,1.00161
0.6840,0.6860,0.6850,0.4692,738.79318,9.93198,1.00150,1.00143,1.00157
0.6860,0.6880,0.6870,0.4720,756.88629,9.10639,1.00146,1.00139,1.00153
0.6880,0.6900,0.6890,0.4747,762.36027,9.25970,1.00143,1.00136,1.00150
0.6900,0.6920,0.6910,0.4775,798.39878,10.47880,1.00141,1.00134,1.00148
0.6920,0.6940,0.6930,0.4802,802.30551,8.97791,1.00139,1.00132,1.00147
0.6940,0.6960,0.6950,0.4830,830.19277,9.59223,1.00139,1.00132,1.00146
0.6960,0.6980,0.6970,0.4858,852.33150,10.46680,1.00139,1.00131,1.00146
0.6980,0.7000,0.6990,0.4886,858.30057,10.48340,1.00139,1.00132,1.00146
0.7000,0.7020,0.7010,0.4914,875.29270,10.78170,1.00141,1.00134,1.00148
0.7020,0.7040,0.7030,0.4942,882.79633,11.08940,1.00145,1.00138,1.00152
0.7040,0.7060,0.7050,0.4970,905.02176,10.46560,1.00149,1.00142,1.00157
0.7060,0.7080,0.7070,0.4998,944.68860,11.46070,1.00153,1.00145,1.00161
0.7080,0.7100,0.7090,0.5027,943.54126,11.06810,1.00161,1.00154,1.00169
0.7100,0.7120,0.7110,0.5055,974.28913,11.76190,1.00170,1.00162,1.00177
0.7120,0.7140,0.7130,0.5084,1000.54725,11.75770,1.00178,1.00170,1.00186
0.7140,0.7160,0.7150,0.5112,1011.21021,12.20180,1.00188,1.00180,1.00196
0.7160,0.7180,0.7170,0.5141,1042.99867,11.85940,1.00201,1.00193,1.00209
0.7180,0.7200,0.7190,0.5170,1061.49113,11.54540,1.00213,1.00205,1.00222
