[GeV^2],sigma [nb],err. sigma [nb]
0.5050,930.0000,10.0000
0.5150,1035.0000,10.0000
0.5250,1065.0000,10.0000
0.5350,1151.0000,10.0000
0.5450,1217.0000,11.0000
0.5550,1264.0000,11.0000
0.5650,1278.0000,10.0000
0.5750,1289.0000,10.0000
0.5850,1291.0000,10.0000
0.5950,1263.0000,10.0000
0.6050,1264.0000,10.0000
0.6150,927.0000,7.0000
0.6250,801.0000,7.0000
0.6350,779.0000,6.0000
0.6450,743.0000,6.0000
0.6550,680.0000,6.0000
0.6650,619.0000,5.0000
0.6750,576.0000,5.0000
0.6850,534.0000,5.0000
0.6950,479.0000,4.0000
0.7050,434.0000,4.0000
0.7150,394.9000,3.4000
0.7250,359.4000,3.2000
0.7350,328.5000,3.0000
0.7450,298.2000,2.7000
0.7550,272.9000,2.4000
0.7650,250.6000,2.2000
0.7750,231.8000,2.1000
0.7850,213.2000,1.9000
0.7950,196.1000,1.8000
0.8050,185.2000,1.6000
0.8150,170.2000,1.5000
0.8250,157.4000,1.4000
0.8350,146.1000,1.2000
0.8450,135.9000,1.1000
