# Sigma_exp
# Source: Mainz
# Q_avg^2 [GeV^2/c^2] | sigma_exp | delta sigma_exp | theta | E_in [MeV]
Code,Abbrev,x,y,dy,theta,energy
# Type=1100
30,Mainz,0.006646,0.971566,0.006157,26.510000,180.000000
30,Mainz,0.006646,0.973717,0.002834,26.510000,180.000000
30,Mainz,0.006646,0.975769,0.005669,26.510000,180.000000
30,Mainz,0.006646,0.975573,0.002932,26.510000,180.000000
30,Mainz,0.006646,0.974205,0.003030,26.510000,180.000000
30,Mainz,0.006646,0.970100,0.002932,26.510000,180.000000
30,Mainz,0.006895,0.961715,0.005566,27.000000,180.000000
30,Mainz,0.006895,0.968941,0.002637,27.000000,180.000000
30,Mainz,0.007144,0.969352,0.002537,27.500000,180.000000
30,Mainz,0.007390,0.967827,0.002633,28.000000,180.000000
30,Mainz,0.007390,0.972118,0.002633,28.000000,180.000000
30,Mainz,0.007652,0.968499,0.002630,28.500000,180.000000
30,Mainz,0.007652,0.963920,0.002630,28.500000,180.000000
30,Mainz,0.007906,0.965600,0.002531,29.000000,180.000000
30,Mainz,0.007911,0.966850,0.002531,29.000000,180.000000
30,Mainz,0.008175,0.966165,0.002334,29.500000,180.000000
30,Mainz,0.008431,0.962791,0.002527,29.990000,180.000000
30,Mainz,0.008431,0.963472,0.002527,29.990000,180.000000
30,Mainz,0.008713,0.964787,0.002525,30.500000,180.000000
30,Mainz,0.008712,0.961586,0.002525,30.500000,180.000000
30,Mainz,0.008981,0.961396,0.004366,31.000000,180.000000
30,Mainz,0.008981,0.967024,0.002911,31.000000,180.000000
30,Mainz,0.008980,0.961303,0.002523,31.000000,180.000000
30,Mainz,0.009259,0.955076,0.004848,31.490000,180.000000
30,Mainz,0.009259,0.959439,0.002618,31.490000,180.000000
30,Mainz,0.009540,0.968529,0.004940,32.000000,180.000000
30,Mainz,0.009539,0.960105,0.003003,32.000000,180.000000
30,Mainz,0.009539,0.956714,0.002712,32.000000,180.000000
30,Mainz,0.009545,0.961635,0.005425,32.000000,180.000000
30,Mainz,0.009545,0.958729,0.003778,32.000000,180.000000
30,Mainz,0.009545,0.960085,0.002906,32.000000,180.000000
30,Mainz,0.009836,0.964014,0.005323,32.510000,180.000000
30,Mainz,0.009836,0.963143,0.002420,32.510000,180.000000
30,Mainz,0.010113,0.957151,0.003095,32.990000,180.000000
30,Mainz,0.010113,0.955603,0.005319,32.990000,180.000000
30,Mainz,0.010113,0.959955,0.002224,32.990000,180.000000
30,Mainz,0.010410,0.956338,0.005121,33.500000,180.000000
30,Mainz,0.010410,0.960010,0.003092,33.500000,180.000000
30,Mainz,0.010410,0.958850,0.003189,33.500000,180.000000
30,Mainz,0.010705,0.966932,0.005310,34.000000,180.000000
30,Mainz,0.010705,0.958435,0.003090,34.000000,180.000000
30,Mainz,0.010705,0.957277,0.002703,34.000000,180.000000
30,Mainz,0.011003,0.955127,0.005016,34.500000,180.000000
30,Mainz,0.011003,0.957056,0.002894,34.500000,180.000000
30,Mainz,0.011003,0.956477,0.002990,34.500000,180.000000
30,Mainz,0.011003,0.956477,0.002990,34.500000,180.000000
30,Mainz,0.011003,0.955802,0.002990,34.500000,180.000000
30,Mainz,0.011305,0.954326,0.004434,35.000000,180.000000
30,Mainz,0.011305,0.958375,0.002795,35.000000,180.000000
30,Mainz,0.011305,0.958085,0.002410,35.000000,180.000000
30,Mainz,0.011609,0.960272,0.004623,35.500000,180.000000
30,Mainz,0.011609,0.953819,0.003563,35.500000,180.000000
30,Mainz,0.011609,0.954397,0.002408,35.500000,180.000000
30,Mainz,0.011917,0.952348,0.004715,36.000000,180.000000
30,Mainz,0.011917,0.953406,0.002791,36.000000,180.000000
30,Mainz,0.011917,0.955619,0.002406,36.000000,180.000000
30,Mainz,0.012228,0.949726,0.002404,36.500000,180.000000
30,Mainz,0.012228,0.950110,0.002404,36.500000,180.000000
30,Mainz,0.012542,0.953834,0.002402,37.000000,180.000000
30,Mainz,0.012542,0.953065,0.002594,37.000000,180.000000
30,Mainz,0.012859,0.953713,0.002976,37.500000,180.000000
# Type=1102
30,Mainz,0.010113,0.964404,0.003191,32.990000,180.000000
30,Mainz,0.010113,0.957247,0.005609,32.990000,180.000000
30,Mainz,0.010113,0.965468,0.002321,32.990000,180.000000
30,Mainz,0.012859,0.949970,0.002976,37.500000,180.000000
30,Mainz,0.012859,0.959472,0.003168,37.500000,180.000000
30,Mainz,0.013185,0.950127,0.003453,38.010000,180.000000
30,Mainz,0.013185,0.952908,0.003453,38.010000,180.000000
30,Mainz,0.013502,0.948494,0.003162,38.500000,180.000000
30,Mainz,0.013503,0.949162,0.003162,38.500000,180.000000
30,Mainz,0.013828,0.949629,0.002872,39.000000,180.000000
30,Mainz,0.013828,0.946182,0.002872,39.000000,180.000000
30,Mainz,0.014151,0.947334,0.002774,39.490000,180.000000
30,Mainz,0.014151,0.952118,0.002774,39.490000,180.000000
30,Mainz,0.014823,0.944065,0.005444,40.500000,180.000000
30,Mainz,0.014823,0.949795,0.003247,40.500000,180.000000
30,Mainz,0.014823,0.949031,0.002770,40.500000,180.000000
30,Mainz,0.015500,0.945224,0.002289,41.500000,180.000000
30,Mainz,0.015500,0.943698,0.002289,41.500000,180.000000
30,Mainz,0.016187,0.943452,0.002380,42.500000,180.000000
30,Mainz,0.016188,0.939070,0.002380,42.500000,180.000000
30,Mainz,0.016535,0.934632,0.004567,43.000000,180.000000
30,Mainz,0.016535,0.934442,0.002664,43.000000,180.000000
30,Mainz,0.016535,0.937962,0.002283,43.000000,180.000000
30,Mainz,0.016885,0.941520,0.004563,43.500000,180.000000
30,Mainz,0.016885,0.939144,0.002662,43.500000,180.000000
30,Mainz,0.016886,0.937525,0.002282,43.500000,180.000000
30,Mainz,0.017238,0.933110,0.004560,44.000000,180.000000
30,Mainz,0.017238,0.940140,0.002660,44.000000,180.000000
30,Mainz,0.017238,0.940045,0.002280,44.000000,180.000000
30,Mainz,0.017600,0.934296,0.004651,44.510000,180.000000
30,Mainz,0.017600,0.933252,0.002658,44.510000,180.000000
30,Mainz,0.017600,0.939991,0.002373,44.510000,180.000000
30,Mainz,0.017950,0.936559,0.004648,45.000000,180.000000
30,Mainz,0.017950,0.937887,0.002751,45.000000,180.000000
30,Mainz,0.017950,0.934093,0.002371,45.000000,180.000000
30,Mainz,0.018310,0.938814,0.004455,45.500000,180.000000
30,Mainz,0.018310,0.929715,0.002654,45.500000,180.000000
30,Mainz,0.018310,0.935496,0.002275,45.500000,180.000000
30,Mainz,0.018679,0.935475,0.004451,46.010000,180.000000
30,Mainz,0.018679,0.929602,0.002652,46.010000,180.000000
30,Mainz,0.019036,0.930189,0.004543,46.500000,180.000000
# Type=1103
30,Mainz,0.019036,0.940789,0.002650,46.500000,180.000000
30,Mainz,0.019036,0.937855,0.002272,46.500000,180.000000
30,Mainz,0.019402,0.932665,0.004540,47.000000,180.000000
30,Mainz,0.019403,0.941080,0.002743,47.000000,180.000000
30,Mainz,0.019403,0.933797,0.002081,47.000000,180.000000
30,Mainz,0.019764,0.931094,0.004442,47.490000,180.000000
