# Cross-section sigma_p pbar, e+e- -> p pbar
# sqrt(s) [GeV/c] | delta+ | delta- | sigma_exp [pb] | delta sigma_exp+ | delta sigma_exp-
Code,Abbrev,x,dx+,dx-,y,dy+,dy-
31,Ablikim-21,1.8885,0.0115,0.0115,721.0000,75.6108,75.6108
31,Ablikim-21,1.9125,0.0125,0.0125,735.0000,81.2712,81.2712
31,Ablikim-21,1.9375,0.0125,0.0125,787.0000,89.1964,89.1964
31,Ablikim-21,1.9625,0.0125,0.0125,933.0000,96.2081,96.2081
31,Ablikim-21,1.9875,0.0125,0.0125,818.0000,98.8989,98.8989
31,Ablikim-21,2.0125,0.0125,0.0125,796.0000,96.7729,96.7729
31,Ablikim-21,2.0375,0.0125,0.0125,950.0000,100.4639,100.4639
31,Ablikim-21,2.0625,0.0125,0.0125,1011.0000,103.4698,103.4698
31,Ablikim-21,2.0875,0.0125,0.0125,792.0000,93.2309,93.2309
31,Ablikim-21,2.1125,0.0125,0.0125,762.0000,87.6641,87.6641
31,Ablikim-21,2.1375,0.0125,0.0125,610.0000,77.1622,77.1622
31,Ablikim-21,2.1625,0.0125,0.0125,650.0000,78.4347,78.4347
31,Ablikim-21,2.1875,0.0125,0.0125,427.0000,64.8460,64.8460
31,Ablikim-21,2.2125,0.0125,0.0125,385.0000,62.3618,62.3618
31,Ablikim-21,2.2375,0.0125,0.0125,314.0000,53.8516,53.8516
31,Ablikim-21,2.2625,0.0125,0.0125,359.0000,55.0818,55.0818
31,Ablikim-21,2.2875,0.0125,0.0125,186.0000,44.3847,44.3847
31,Ablikim-21,2.3250,0.0250,0.0250,154.0000,28.1603,28.1603
31,Ablikim-21,2.3750,0.0250,0.0250,107.0000,23.7697,23.7697
31,Ablikim-21,2.4250,0.0250,0.0250,100.0000,21.5407,21.5407
31,Ablikim-21,2.4750,0.0250,0.0250,108.0000,20.2485,20.2485
31,Ablikim-21,2.5250,0.0250,0.0250,90.0000,17.7200,17.7200
31,Ablikim-21,2.5750,0.0250,0.0250,64.0000,14.3178,14.3178
31,Ablikim-21,2.6250,0.0250,0.0250,67.0000,13.3417,13.3417
31,Ablikim-21,2.6750,0.0250,0.0250,31.0000,11.1803,11.1803
31,Ablikim-21,2.7250,0.0250,0.0250,26.0000,10.1980,10.1980
31,Ablikim-21,2.7750,0.0250,0.0250,33.0000,10.1980,10.1980
31,Ablikim-21,2.8250,0.0250,0.0250,18.0000,9.0554,9.0554
31,Ablikim-21,2.8750,0.0250,0.0250,30.0000,8.5440,8.5440
31,Ablikim-21,2.9250,0.0250,0.0250,18.0000,8.0623,8.0623
31,Ablikim-21,2.9750,0.0250,0.0250,19.0000,7.0711,7.0711
# EOF
