# Sigma_exp/Sigma_dip data
# Source: Mainz
# t [GeV^2/c^2] | sigma_exp/sigma_dip | delta sigma_exp/sigma_dip | theta | E_in [MeV]
Code,Abbrev,x,y,dy,theta,energy
# Type=1100
30,Mainz,-0.005487,0.996300,0.003800,24.010000,180.000000
30,Mainz,-0.005487,0.993900,0.004400,24.010000,180.000000
30,Mainz,-0.005708,0.990800,0.007200,24.500000,180.000000
30,Mainz,-0.005707,0.993400,0.004200,24.500000,180.000000
30,Mainz,-0.005707,1.000300,0.003700,24.500000,180.000000
30,Mainz,-0.005713,0.995600,0.006600,24.500000,180.000000
30,Mainz,-0.005707,0.996000,0.004000,24.500000,180.000000
30,Mainz,-0.005708,0.992500,0.006800,24.500000,180.000000
30,Mainz,-0.005940,0.996000,0.004600,25.010000,180.000000
30,Mainz,-0.005941,0.996500,0.004200,25.010000,180.000000
30,Mainz,-0.005941,1.001200,0.004900,25.010000,180.000000
30,Mainz,-0.005941,0.999400,0.003000,25.010000,180.000000
30,Mainz,-0.006168,1.002100,0.006800,25.500000,180.000000
30,Mainz,-0.006174,0.992200,0.003800,25.500000,180.000000
30,Mainz,-0.006174,0.993900,0.004100,25.500000,180.000000
30,Mainz,-0.006174,0.991900,0.004000,25.500000,180.000000
30,Mainz,-0.006168,0.990200,0.004800,25.500000,180.000000
30,Mainz,-0.006415,0.990600,0.003600,26.010000,180.000000
30,Mainz,-0.006415,0.991300,0.003600,26.010000,180.000000
30,Mainz,-0.006415,0.993900,0.006100,26.010000,180.000000
30,Mainz,-0.006413,0.996700,0.003600,26.010000,180.000000
30,Mainz,-0.006415,0.992100,0.004300,26.010000,180.000000
30,Mainz,-0.006646,0.994100,0.006300,26.510000,180.000000
30,Mainz,-0.006646,0.996300,0.002900,26.510000,180.000000
30,Mainz,-0.006646,0.998400,0.005800,26.510000,180.000000
30,Mainz,-0.006646,0.998200,0.003000,26.510000,180.000000
30,Mainz,-0.006646,0.996800,0.003100,26.510000,180.000000
30,Mainz,-0.006646,0.992600,0.003000,26.510000,180.000000
30,Mainz,-0.006895,0.984800,0.005700,27.000000,180.000000
30,Mainz,-0.006895,0.992200,0.002700,27.000000,180.000000
30,Mainz,-0.007144,0.993400,0.002600,27.500000,180.000000
30,Mainz,-0.007390,0.992600,0.002700,28.000000,180.000000
30,Mainz,-0.007390,0.997000,0.002700,28.000000,180.000000
30,Mainz,-0.007652,0.994100,0.002700,28.500000,180.000000
30,Mainz,-0.007652,0.989400,0.002700,28.500000,180.000000
30,Mainz,-0.007906,0.991900,0.002600,29.000000,180.000000
30,Mainz,-0.007911,0.993200,0.002600,29.000000,180.000000
30,Mainz,-0.008175,0.993300,0.002400,29.500000,180.000000
30,Mainz,-0.008431,0.990600,0.002600,29.990000,180.000000
30,Mainz,-0.008431,0.991300,0.002600,29.990000,180.000000
30,Mainz,-0.008713,0.993500,0.002600,30.500000,180.000000
30,Mainz,-0.008712,0.990200,0.002600,30.500000,180.000000
30,Mainz,-0.008981,0.990800,0.004500,31.000000,180.000000
30,Mainz,-0.008981,0.996600,0.003000,31.000000,180.000000
30,Mainz,-0.008980,0.990700,0.002600,31.000000,180.000000
30,Mainz,-0.009259,0.985100,0.005000,31.490000,180.000000
30,Mainz,-0.009259,0.989600,0.002700,31.490000,180.000000
30,Mainz,-0.009540,0.999800,0.005100,32.000000,180.000000
